algorithm,operation,hash_backend,keccak_rounds,fips_compliant,n_iterations,median_cycles,q1_cycles,q3_cycles,iqr_cycles,p95_cycles,p99_cycles,min_cycles,max_cycles,arith_mean_cycles,geo_mean_cycles,std_dev_cycles,cov_pct,cpb,wall_ns_mean,pk_bytes,sk_bytes,ct_or_sig_bytes,ss_bytes,nist_level,stack_hwm_bytes,peak_rss_delta_kb,peak_rss_after_kb,heap_delta_bytes,energy_proxy_units,energy_proxy_per_byte,est_energy_uj,est_energy_uj_per_byte,energy_calibrated,edp_cycle_ns
ML-KEM-512-BLAKE3,Encaps,"BLAKE3 (native XOF, 7 rounds, NON-FIPS)",7,0,10000,447,446,453,7,474,652,432,2707,456.15,454.46,51.65,11.3232,0.558750,19405.15,800,1632,768,32,1,0,0,4184,0,447,0.5587,0.4470,0.000559,0,8674101.83
ML-KEM-512-BLAKE3,Decaps,"BLAKE3 (native XOF, 7 rounds, NON-FIPS)",7,0,10000,561,561,562,1,626,849,558,2522,575.28,572.79,67.58,11.7469,0.701250,24479.66,800,1632,768,32,1,0,0,4312,0,561,0.7013,0.5610,0.000701,0,13733091.67
ML-KEM-768-BLAKE3,KeyGen,"BLAKE3 (native XOF, 7 rounds, NON-FIPS)",7,0,10000,660,655,666,11,710,935,641,2680,671.68,669.81,60.17,8.9588,0.184152,28562.92,1184,2400,1088,32,3,0,0,4452,0,660,0.1842,0.6600,0.000184,0,18851529.84
ML-KEM-768-BLAKE3,Encaps,"BLAKE3 (native XOF, 7 rounds, NON-FIPS)",7,0,10000,721,720,727,7,872,1121,716,2314,742.40,739.25,82.45,11.1054,0.643750,31566.27,1184,2400,1088,32,3,0,0,4452,0,721,0.6438,0.7210,0.000644,0,22759280.53
ML-KEM-768-BLAKE3,Decaps,"BLAKE3 (native XOF, 7 rounds, NON-FIPS)",7,0,10000,852,852,854,2,992,1191,849,7073,872.13,869.13,103.25,11.8390,0.760714,37091.09,1184,2400,1088,32,3,0,0,4580,0,852,0.7607,0.8520,0.000761,0,31601604.59
ML-KEM-1024-BLAKE3,KeyGen,"BLAKE3 (native XOF, 7 rounds, NON-FIPS)",7,0,10000,1026,1020,1033,13,1158,1430,1002,3548,1044.26,1041.77,84.72,8.1132,0.216639,44400.80,1568,3168,1568,32,5,0,0,4580,0,1026,0.2166,1.0260,0.000217,0,45555216.08
ML-KEM-1024-BLAKE3,Encaps,"BLAKE3 (native XOF, 7 rounds, NON-FIPS)",7,0,10000,1052,1050,1058,8,1203,1463,1047,8574,1073.44,1070.23,117.60,10.9551,0.657500,45659.01,1568,3168,1568,32,5,0,0,4580,0,1052,0.6575,1.0520,0.000657,0,48033274.00
ML-KEM-1024-BLAKE3,Decaps,"BLAKE3 (native XOF, 7 rounds, NON-FIPS)",7,0,10000,1239,1239,1241,2,1437,1686,1234,6071,1264.91,1261.81,109.25,8.6372,0.774375,53789.15,1568,3168,1568,32,5,0,0,4592,0,1239,0.7744,1.2390,0.000774,0,66644762.80
ML-DSA-44-BLAKE3,KeyGen,"BLAKE3 (native XOF, 7 rounds, NON-FIPS)",7,0,10000,994,991,1000,9,1152,1582,983,14204,1023.90,1016.17,215.38,21.0352,0.256715,43556.33,1312,2560,2420,0,2,0,0,4592,0,994,0.2567,0.9940,0.000257,0,43294991.13
ML-DSA-44-BLAKE3,Sign,"BLAKE3 (native XOF, 7 rounds, NON-FIPS)",7,0,10000,3656,2709,6063,3354,11472,16924,1956,34027,4843.36,4046.91,3309.68,68.3344,1.510537,205483.79,1312,2560,2420,0,2,0,0,4592,0,3656,1.5105,3.6555,0.001511,0,751145994.71
ML-DSA-44-BLAKE3,Verify,"BLAKE3 (native XOF, 7 rounds, NON-FIPS)",7,0,10000,1108,1107,1109,2,1285,1545,1103,4895,1130.13,1127.45,92.14,8.1534,0.457851,48054.47,1312,2560,2420,0,2,0,0,4596,0,1108,0.4579,1.1080,0.000458,0,53244354.64
ML-DSA-65-BLAKE3,KeyGen,"BLAKE3 (native XOF, 7 rounds, NON-FIPS)",7,0,10000,1967,1959,1979,20,2267,2575,1929,7590,2011.21,2006.41,164.73,8.1906,0.328710,85508.89,1952,4032,3309,0,3,0,0,4596,0,1967,0.3287,1.9670,0.000329,0,168195982.89
ML-DSA-65-BLAKE3,Sign,"BLAKE3 (native XOF, 7 rounds, NON-FIPS)",7,0,10000,6322,4134,9975,5842,19272,28397,2949,55341,7989.86,6602.52,5566.25,69.6664,1.910547,339831.29,1952,4032,3309,0,3,0,0,4596,0,6322,1.9105,6.3220,0.001911,0,2148413408.43
ML-DSA-65-BLAKE3,Verify,"BLAKE3 (native XOF, 7 rounds, NON-FIPS)",7,0,10000,1773,1772,1777,5,2030,2345,1766,10147,1811.38,1807.18,157.50,8.6951,0.535811,77021.20,1952,4032,3309,0,3,0,0,4628,0,1773,0.5358,1.7730,0.000536,0,136558581.93
ML-DSA-87-BLAKE3,KeyGen,"BLAKE3 (native XOF, 7 rounds, NON-FIPS)",7,0,10000,2709,2705,2717,12,3085,3480,2690,10430,2768.61,2763.14,208.41,7.5276,0.361779,117803.05,2592,4896,4627,0,5,0,0,4628,0,2709,0.3618,2.7090,0.000362,0,319128472.47
ML-DSA-87-BLAKE3,Sign,"BLAKE3 (native XOF, 7 rounds, NON-FIPS)",7,0,10000,7852,5317,11760,6443,21165,30645,4485,56478,9591.20,8329.10,5793.72,60.4066,1.696996,407363.53,2592,4896,4627,0,5,0,0,4628,0,7852,1.6970,7.8520,0.001697,0,3198618438.35
ML-DSA-87-BLAKE3,Verify,"BLAKE3 (native XOF, 7 rounds, NON-FIPS)",7,0,10000,2877,2874,2883,9,3252,3638,2867,7488,2935.99,2931.44,183.93,6.2647,0.621785,124794.96,2592,4896,4627,0,5,0,0,4660,0,2877,0.6218,2.8770,0.000622,0,359035112.29
ML-KEM-512-XOODYAK,KeyGen,"Xoodyak (Cyclist/Xoodoo, 12 rounds, NON-FIPS)",12,0,10000,721,715,732,17,882,1387,702,11299,756.91,746.79,209.99,27.7438,0.296464,32369.76,800,1632,768,32,1,0,0,4196,0,721,0.2965,0.7210,0.000296,0,23338597.54
ML-KEM-512-XOODYAK,Encaps,"Xoodyak (Cyclist/Xoodoo, 12 rounds, NON-FIPS)",12,0,10000,788,784,794,10,901,1137,779,2451,806.62,804.10,74.58,9.2461,0.984375,34293.85,800,1632,768,32,1,0,0,4196,0,788,0.9844,0.7875,0.000984,0,27006405.46
ML-KEM-512-XOODYAK,Decaps,"Xoodyak (Cyclist/Xoodoo, 12 rounds, NON-FIPS)",12,0,10000,1017,992,1021,29,1150,1409,987,3348,1025.92,1023.26,86.37,8.4191,1.271250,43609.39,800,1632,768,32,1,0,0,4324,0,1017,1.2712,1.0170,0.001271,0,44350748.92
ML-KEM-768-XOODYAK,KeyGen,"Xoodyak (Cyclist/Xoodoo, 12 rounds, NON-FIPS)",12,0,10000,1318,1306,1348,42,1508,1791,1284,4884,1347.11,1343.83,116.16,8.6230,0.367746,57270.82,1184,2400,1088,32,3,0,0,4460,0,1318,0.3677,1.3180,0.000368,0,75482934.57
ML-KEM-768-XOODYAK,Encaps,"Xoodyak (Cyclist/Xoodoo, 12 rounds, NON-FIPS)",12,0,10000,1411,1375,1418,43,1599,1879,1368,4523,1423.11,1419.98,108.12,7.5977,1.259821,60484.46,1184,2400,1088,32,3,0,0,4460,0,1411,1.2598,1.4110,0.001260,0,85343579.69
ML-KEM-768-XOODYAK,Decaps,"Xoodyak (Cyclist/Xoodoo, 12 rounds, NON-FIPS)",12,0,10000,1694,1650,1697,47,1948,2237,1640,4900,1717.64,1713.75,129.93,7.5647,1.512500,73010.16,1184,2400,1088,32,3,0,0,4588,0,1694,1.5125,1.6940,0.001512,0,123679210.19
ML-KEM-1024-XOODYAK,KeyGen,"Xoodyak (Cyclist/Xoodoo, 12 rounds, NON-FIPS)",12,0,10000,2179,2162,2196,34,2501,2948,2091,18920,2225.58,2215.99,298.15,13.3965,0.460093,94633.42,1568,3168,1568,32,5,0,0,4588,0,2179,0.4601,2.1790,0.000460,0,206206225.23
ML-KEM-1024-XOODYAK,Encaps,"Xoodyak (Cyclist/Xoodoo, 12 rounds, NON-FIPS)",12,0,10000,2221,2217,2228,11,2542,2907,2152,6017,2258.55,2253.84,165.63,7.3336,1.388125,95998.70,1568,3168,1568,32,5,0,0,4588,0,2221,1.3881,2.2210,0.001388,0,213213116.25
ML-KEM-1024-XOODYAK,Decaps,"Xoodyak (Cyclist/Xoodoo, 12 rounds, NON-FIPS)",12,0,10000,2595,2591,2599,8,2928,3287,2516,10796,2630.49,2625.73,185.55,7.0540,1.621875,111820.88,1568,3168,1568,32,5,0,0,4600,0,2595,1.6219,2.5950,0.001622,0,290175176.33
ML-DSA-44-XOODYAK,KeyGen,"Xoodyak (Cyclist/Xoodoo, 12 rounds, NON-FIPS)",12,0,10000,2929,2856,2942,86,3279,3688,2837,7156,2954.37,2949.30,193.69,6.5559,0.756457,125616.19,1312,2560,2420,0,2,0,0,4600,0,2929,0.7565,2.9290,0.000756,0,367929811.43
ML-DSA-44-XOODYAK,Sign,"Xoodyak (Cyclist/Xoodoo, 12 rounds, NON-FIPS)",12,0,10000,6713,5171,10227,5056,17922,25152,3884,46820,8334.34,7326.62,4779.86,57.3514,2.773967,354179.51,1312,2560,2420,0,2,0,0,4600,0,6713,2.7740,6.7130,0.002774,0,2377607036.53
ML-DSA-44-XOODYAK,Verify,"Xoodyak (Cyclist/Xoodoo, 12 rounds, NON-FIPS)",12,0,10000,2970,2966,2975,9,3342,3735,2881,13823,3011.29,3005.77,219.65,7.2943,1.227273,127999.50,1312,2560,2420,0,2,0,0,4608,0,2970,1.2273,2.9700,0.001227,0,380158523.02
ML-DSA-65-XOODYAK,KeyGen,"Xoodyak (Cyclist/Xoodoo, 12 rounds, NON-FIPS)",12,0,10000,5504,5367,5608,241,6090,6607,5318,9538,5560.57,5553.76,293.47,5.2776,0.919786,236380.09,1952,4032,3309,0,3,0,0,4608,0,5504,0.9198,5.5040,0.000920,0,1301035988.94
